Zip code,1,2,3,4,5,6,7,8,9,10,11,12
501,442052.84,401825.9,405488,392537.94,393995.06,394166.47,402421.78,396041.62,398286.44,393851.47,388697.56,373973.97
1001,318715.38,327543.44,337142.2,329593.75,331419.2,332705.38,340901.94,335445.88,338962.03,336755.3,334285.75,324524.06
1002,343584.12,350602.25,360207,349991.8,352077.22,354741.94,363797,356161.38,358964.97,355611.12,352669.38,341566.8
1003,649258.44,623523.9,622402.1,606939.2,601914.3,601626.44,608326.6,600910.94,600227.1,598474.06,594162.3,580272.9
1004,359454.8,363822.5,373789.3,365972.66,369242.75,371847.62,379797.94,375388.8,379095.5,376505,374293.75,362329.8
1005,335325.25,336843.94,347138.78,336551,339354.8,341485.25,351267.97,346574.8,350182.53,346822.03,343219.5,332290.12
1007,294767.94,296602.03,303646.7,297029.2,298337.06,298739.44,305472.62,301038.44,302684.8,300505.62,297258.78,290466.75
1008,341896.94,319492.6,323739.06,313070.7,312420.38,311948.2,318863.7,311966,312822.25,309579.03,305219.38,297094.9
1009,295848.06,306547.25,315491.3,309032.3,311822.84,314920.44,323002.25,320531.62,324409.75,322393.84,320312.8,311074.75
1010,398293.88,406387.75,415063.7,405294.88,407451.12,410424.56,419042.72,413728.88,417674.66,414593.25,411315.03,399170.62
1011,387489.38,383653.62,392849.5,382638.5,385021.1,388483.5,396867.2,391910.2,396166.1,393064.56,390510.7,376916.5
1012,343353.34,372062.12,383718.84,377523.38,381873.38,384226.12,393684.25,387929.22,391327.2,388237.06,385583.03,371947.06
1013,308973.25,314835.62,324180.94,317423.12,318643.44,319420.3,327575.97,322676.2,325353.16,323379.25,321205.44,313036.44
1020,306378.66,312567.97,318546.5,311157.44,311635.03,311563.06,318450.44,313472.62,316443.44,314970.56,312390.66,306413.7
1022,292638.5,299403.06,307970.03,302745.12,304675.88,306190.97,312694.88,308467.72,311095.38,309473.62,307215.78,300120.62
1026,372403,378909.84,388147.62,381744.72,384932.34,388322.2,396536.7,393261.78,397750.56,396004.47,394190.4,384159.47
1027,307116.62,318931.25,329950.5,322034.72,324474.38,326609.72,334935.06,329845.1,333591.6,330885.88,329104.7,318365.88
1028,380065.2,377519.06,384392.56,373605.12,376218.84,379212.7,388741.72,382835.03,387077.5,383450.9,379911.72,365857.53
1029,480137.22,443444.44,451469.56,441073.22,444172.2,446853.78,456884.22,452463.4,456358.6,454367.6,451017.88,441392.62
1030,320852.2,328970.9,339685.28,331256.88,333671.3,335425.56,344208.2,338451,342429.34,339716.75,337098.62,325702.38
1031,276802.38,281867.72,287819,283765.06,284719.16,285027,290422.25,287345.12,289002.12,288096.62,286003.94,282234.2
1032,524384.94,547211.25,555706.5,542932.4,544289.8,547989.4,558472.06,546970.5,546287.9,547944.3,497439.1,481416.12
1033,335030.56,338869.66,347529.78,340655.06,342117.5,344164.94,352386.8,346652.75,349100.66,346369.84,343163.28,334217.28
1034,463798.84,451902.84,459095.7,449500.94,450111.53,451140.56,457815.5,453044.25,455305.03,453013.38,450422.5,441485.03
1035,506625.47,523939.56,542600,534289.1,532096.4,530220.06,539068.56,529051.44,526565.5,521167.66,515050.34,434676.72
1036,386680.3,387625.38,396220.62,387167.9,389416.9,390815.94,398635.25,390927.16,392417.9,387781.3,383531.12,369589.03
1037,359731.56,369942.2,379665.56,371917.06,375444.78,377372.3,386330,378937,381171.3,376883.75,372682.1,359009.78
1038,458948.2,414270.4,416050.25,397974.47,397466.28,395379,405153.38,394335.16,397491.38,391422.12,387427.5,369390.25
1039,280431.4,285902.34,293412.62,288420.16,289770.75,289936.62,296591.44,292255.72,294241,292746.75,290658.97,285372.56
1040,276823.75,280740.5,286649.44,281464.25,282190.75,282590,288313.94,284994.3,286599.3,285581.7,283382.56,279061.28
1050,336805.3,346574.8,356474.12,349960.03,353067.8,357156.7,365675.7,360743.84,363661.28,360907.72,357433.8,346625.4
1053,395906.1,393713.6,403156.4,390051.03,393512.94,396630.44,406571.66,397906.22,400746.38,395419.38,391301.6,373088.8
1054,447191.9,417868.75,423214.84,405778.56,406670.1,408909.6,417233.84,409661.88,413124.38,407894.7,403303.12,385345.88
1056,308424.5,317834.06,326837.5,320166.8,321789.25,324056.12,330985.34,326300.7,328782.22,326702.5,323507.3,314810
1057,352944.56,370006.22,380544.84,372618.38,376610.62,380410.5,388667.47,382577.9,385298.12,382072.94,379139.8,367273.8
1060,379817.38,389939.8,391168.3,365052.47,368251.47,372834.7,382152.1,370254.22,373688.88,366839.38,363019.4,343754.56
1062,359779.72,412584.9,425745.8,401228.78,394033.6,397233.56,404248.12,394529.12,397996.34,393027.2,389183,374360.56
1066,366176.62,360202.78,369443.78,359639.88,361116.7,362538.5,370710.62,364554.88,367598.44,363584.6,359667.53,346779.97
1068,412392.22,401611.94,409207.72,394967.6,395574.25,398971.12,407113.28,399807.06,403482,398275.44,393843.44,376114.4
1069,283753.56,290984.38,298939.88,292815.78,294544.44,294951.62,302096,297639.88,299435.62,297527.3,294836.12,288821.88
1070,352905.4,341141.3,348153.22,338692.06,339513.56,339174.62,347282.94,340177.5,341669.88,338253.97,333590.62,323972.16
1071,374585.3,377204.94,387230.38,379096.28,382477.2,385895.75,393684.88,387619.3,389517.53,386026.2,382648.4,370594.72
1072,378651.16,385525.94,392071.94,375736.06,375034.38,380002.03,388362.2,381416.1,386856.62,383440.03,381529.66,368073.38
1073,288935.22,295707.25,303808.7,299152.6,301483.56,302894.2,310212.38,306433.56,309090.84,307774.97,305996.2,299215.38
1074,257297.42,265418.88,271096.75,268401.06,269732.8,270860.8,275353.22,273129.03,274681.94,274250.62,273090.47,269647.5
1075,326145.25,335792.66,346196.16,338573.97,341101.2,343682.06,352329.38,347619.12,351779.5,348789.38,345978.56,334623
1077,353508.53,360472.38,370494.7,361238,363300.28,368676.6,376453.44,369616.5,371753.8,367709.44,363792.6,351402.62
1079,310991.72,313117.56,320092.66,314254.75,315275.94,315987.22,322459.66,317936.06,320058.62,318173.88,314929.94,307919.62
1080,283577.44,289109.3,296598.6,291428.8,292761.75,293560.9,300004.12,296500.72,299093.75,297465.3,295848.66,289472.94
1081,327183.4,338387.34,348338.66,340304,343252.3,348611.1,356892.97,350461.34,353487.25,349705.25,346182.3,333201.38
1082,251288.28,261492.11,267580.4,265110.44,266368.5,267055.62,271923.94,270206.3,271652.12,271133.3,269666.12,266352.78
1083,349757.12,351007.78,360190.25,348304.44,349301.28,350702.22,360097.75,351657.7,356119.3,351685.53,347574,333155
1084,419697.25,401779.8,407040.72,395375.25,396873.84,398003.2,405722.28,399530.22,402293.5,398390.47,394548.75,380877.6
1085,306023.88,315198.75,325108,318062.06,319436.56,320875.16,328463.2,323723.2,326207.25,323948.62,321225.06,313320.56
1088,346955.22,353424.2,363009.22,357257,360444.12,364026.7,371629.75,366507.3,368916.06,365453.28,361658.12,349503.9
1089,299040,303090.53,310866,305026.38,306865.38,307587.38,314835,310222.66,312460.1,311074.56,308156.06,302401.6
1092,307862.25,322627.34,333899.62,327399.16,330438.12,333490.12,341873.12,338049.7,342866.62,340097.75,337423.53,327257.06
1093,350055.94,380323.9,386081,364019.72,363804.16,366454.56,375512.56,368252.75,371406.12,367987.28,364434.94,356342.62
1095,337558.06,343072.7,354210.3,344506.44,346922.94,349050.12,358457.88,352574.3,357110,354036.62,349943.94,338151.3
1096,288148.9,296777.2,305312.06,299961.75,301359.8,302538.5,309851.2,305251.66,307578.8,306141.62,303592.62,296835.72
1097,328688.06,337438.62,348152.03,339486.3,342608.44,344690.7,353948.2,349490.75,353715.75,350789.6,347151.25,336582.8
1098,379802.75,381012.62,389784.38,381646.06,384453.88,387284.3,394805.97,390921.1,394580.4,392082.8,389815.38,378238.38
1103,279213.6,286778.38,294607.7,288939.8,291042.72,292125.88,298795.44,295212,296925.94,295300.56,292936.9,286965.62
1104,313943.78,322283.3,331336.3,325686,328091.8,330323.2,337097.66,333478.62,337406,335039.78,332398.5,323417.28
1105,295152.7,294190.12,301105.8,293560.25,294839.34,295453.53,302318.3,297448.25,299136.7,296702.75,293327.22,286422.7
1106,295260.12,304968.06,314141.7,307058.75,309555.8,310568.75,318725.78,313407.3,315989,314493.44,311184.72,304590.6
1107,260367.67,268296.3,273863.06,270744.5,271458.12,271675.88,276424.62,274675.94,276224.38,275771.88,274413.44,271135.7
1108,332247.7,340901.25,350528.8,341964.88,343655.88,345174.7,353762.03,348769.38,352605.12,349427.9,345574.3,335242.1
1109,296738.94,307278.56,316577.88,310793.8,313391.34,315057.8,322254.78,318385.1,320463.94,318580.06,316300.38,307984.06
1115,280151.5,285217.34,291190.7,286896.28,288363.5,288849.4,294818.94,291743.5,293631.3,292630.75,290617,286038.66
1116,946254.56,829378,776342.75,723598.8,694255.4,681063.06,683704.06,666370.3,657442,646125.25,634880.1,617240
1118,256488.17,263306.1,268666.94,265557.84,266295.22,266225.56,270795.1,269141.44,270758.3,270357.22,269039.94,265909.03
